Survey ID,Age,Gender,Marital Status,Education,Occupation,Income Range,Area,Cash Over E-Money,Bank Account,Have E-Wallet,Use E-Wallet,E-Wallet Name,E-Wallet Usage Medium,E-Wallet Usage Purpose,E-Wallet Usage Reason,Reason of Non-Usage,User Satisfaction,Reason of Non-Satisfaction,Usage Continuation,Finance Management,General Lack of Trust
1,31 - 50,Female,Divorced,Intermediate/ A-Levels,Homemaker/ Unemployed,"Less than 30,000",Urban area,Yes,Yes,Yes,No,Not applicable,Not Applicable,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Not applicable,Maybe
2,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,No,Easypaisa,Not Applicable,Recharge or package activation,Easy to use,Scam or security reasons,Not applicable,Not applicable,Maybe,Maybe,Yes
2,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,No,Easypaisa,Not Applicable,Recharge or package activation,Easy to use,Internet instability or unavailability,Not applicable,Not applicable,Maybe,Maybe,Yes
2,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,No,Easypaisa,Not Applicable,Recharge or package activation,Convenience,Scam or security reasons,Not applicable,Not applicable,Maybe,Maybe,Yes
2,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,No,Easypaisa,Not Applicable,Recharge or package activation,Convenience,Internet instability or unavailability,Not applicable,Not applicable,Maybe,Maybe,Yes
2,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,No,Jazzcash,Not Applicable,Recharge or package activation,Easy to use,Scam or security reasons,Not applicable,Not applicable,Maybe,Maybe,Yes
2,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,No,Jazzcash,Not Applicable,Recharge or package activation,Easy to use,Internet instability or unavailability,Not applicable,Not applicable,Maybe,Maybe,Yes
2,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,No,Jazzcash,Not Applicable,Recharge or package activation,Convenience,Scam or security reasons,Not applicable,Not applicable,Maybe,Maybe,Yes
2,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,"30,000 - 100,000",Urban area,No,Yes,Yes,No,Jazzcash,Not Applicable,Recharge or package activation,Convenience,Internet instability or unavailability,Not applicable,Not applicable,Maybe,Maybe,Yes
3,18 - 30,Female,Single,Intermediate/ A-Levels,Student,"Less than 30,000",Urban area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,To send money,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,No
3,18 - 30,Female,Single,Intermediate/ A-Levels,Student,"Less than 30,000",Urban area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,To send money,Accessibility,Not applicable,Yes,Not applicable,Yes,Yes,No
3,18 - 30,Female,Single,Intermediate/ A-Levels,Student,"Less than 30,000",Urban area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,To send money,Service quality,Not applicable,Yes,Not applicable,Yes,Yes,No
3,18 - 30,Female,Single,Intermediate/ A-Levels,Student,"Less than 30,000",Urban area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,To send money,Convenience,Not applicable,Yes,Not applicable,Yes,Yes,No
3,18 - 30,Female,Single,Intermediate/ A-Levels,Student,"Less than 30,000",Urban area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,To receive money,Easy to use,Not applicable,Yes,Not applicable,Yes,Yes,No
3,18 - 30,Female,Single,Intermediate/ A-Levels,Student,"Less than 30,000",Urban area,No,Yes,Yes,Yes,Easypaisa,Mobile Application,To receive money,Accessibility,Not applicable,Yes,Not applicable,Yes,Yes,No
