Survey ID,Age,Gender,Marital Status,Education,Occupation,Income,Area,Cash Over E Money,Bank Account,Have E-Wallet,Use E-Wallet,E-Wallet Name,E-Wallet Usage Purpose,E-Wallet Usage Reason,Scam or Security reasons,Internet instability or unavailability,Lack of interest,Lack of knowledge,User Satisfaction,Non-Satisfaction Reason,Usage Continuation,Finance Management,General Lack of Trust,E-wallet usage medium
1,31 - 50,Female,Divorced,Intermediate/ A-Levels,Homemaker,Low,Urban area,Yes,Yes,Yes,No,Not applicable,Not Applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,No,Not applicable,Maybe,Not Applicable
2,18 - 30,Female,Single,Masters/ M.Phil,"Education Sector, Student",Medium,Urban area,No,Yes,Yes,No,"Easypaisa, Jazzcash",Recharge or package activation,Easy to use,Yes,Yes,No,No,Not applicable,Lack of interest,Maybe,Maybe,Yes,Not Applicable
3,18 - 30,Female,Single,Intermediate/ A-Levels,Student,Low,Urban area,No,Yes,Yes,Yes,Easypaisa,"To send or/and receive money, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Mobile Application
4,18 - 30,Female,Single,Bachelors,Student,Low,Rural area,No,Yes,Yes,Yes,"Easypaisa, Jazzcash",To send or/and receive money,Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Maybe,Mobile Application
5,18 - 30,Female,Single,Bachelors,Student,Low,Urban area,Yes,No,Yes,Yes,"Easypaisa, Jazzcash, Sadapay","To send or/and receive money, Online shopping, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,No,Mobile Application
6,18 - 30,Female,Single,Masters/ M.Phil,Education Sector,High,Rural area,Yes,Yes,Yes,Yes,"Easypaisa, Jazzcash","To send or/and receive money, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,No,Yes,Mobile Application
7,Above 50,Male,Married,Intermediate/ A-Levels,Government Sector,Medium,Urban area,Yes,Yes,Yes,Yes,Jazzcash,"To send or/and receive money, Bill payments, Recharge or package activation",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Maybe,Mobile Application
8,31 - 50,Female,Single,Masters/ M.Phil,Corporate Sector,High,Urban area,No,Yes,Yes,Yes,"Easypaisa, Jazzcash","To send or/and receive money, Online shopping",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Maybe,No,Mobile Application
9,18 - 30,Female,Single,Bachelors,Health Sector,Medium,Urban area,No,Yes,Yes,Yes,"Jazzcash, Askari bank mobile app","To send or/and receive money, Online shopping, Bill payments",Easy to use,No,No,No,No,Yes,Not applicable,Yes,Maybe,Maybe,Mobile Application
10,31 - 50,Female,Married,No formal education or below matric,Homemaker,Low,Rural area,Yes,No,Yes,Yes,Jazzcash,To send or/and receive money,Inclusive,No,No,No,No,Yes,Not applicable,Yes,No,Maybe,Without Mobile Application
11,31 - 50,Female,Married,Matriculation/ O-Levels,Homemaker,Low,Urban area,Maybe,No,Yes,Yes,Jazzcash,To send or/and receive money,Easy to use,No,No,No,No,Yes,Not applicable,Yes,Yes,Maybe,Mobile Application
12,31 - 50,Male,Married,Masters/ M.Phil,Corporate Sector,High,Urban area,No,Yes,Yes,Yes,Jazzcash,To send or/and receive money,Convenience,No,No,No,No,Yes,Not applicable,Yes,No,Yes,Mobile Application
